Last_Name,First_Name,Date_of_Survey,Age,NPS_Scale,NPS_With_Decimal
Barnes,Kelvin,9/10/2020,100,9,9.5
Davis,Kate,7/17/2020,91,9,9.5
Grant,Miller,8/28/2021,91,8,8.6
Tucker,Dexter,11/2/2021,93,9,9.2
Elliott,Annabella,1/12/2020,82,9,9.9
Kelley,Dexter,2/12/2020,82,8,8.5
Anderson,Rosie,6/14/2020,98,9,9.2
Riley,James,12/21/2019,98,9,9
Johnson,Lucy,3/19/2020,86,10,10
Owens,Adrianna,9/28/2022,81,8,8.8
Cameron,Jacob,6/12/2020,80,9,9.2
Walker,Chester,3/11/2022,93,10,10
Tucker,Tara,12/22/2021,96,8,8.3
Thomas,George,2/15/2020,88,9,9.1
Hall,Evelyn,6/10/2021,88,9,9.5
Andrews,Ted,6/11/2022,87,9,9.4
Perry,Andrew,2/6/2022,86,8,8
Richardson,Sam,9/9/2020,83,9,9.4
Wells,Victoria,2/10/2020,96,8,8.8
Brooks,Rebecca,1/21/2021,91,9,9.6
Farrell,Vanessa,1/11/2021,83,9,9.3
Reed,Blake,4/28/2022,89,9,9.6
Tucker,Victoria,6/6/2021,98,9,9.1
Morris,Steven,1/23/2022,90,8,8.8
Bailey,Briony,9/26/2022,100,8,8.6
Hill,Daisy,5/15/2020,84,8,8.4
Ellis,Alford,11/30/2020,98,9,9.3
Hawkins,Adison,5/2/2022,96,9,9.3
Howard,Sawyer,11/4/2019,92,7,7.7
Craig,Jessica,10/19/2021,81,9,9.1
Kelly,Melissa,1/22/2021,89,9,9.8
Lloyd,Freddie,1/30/2020,94,10,10
Parker,Camila,7/18/2021,81,9,9.4
Cameron,Kelvin,12/11/2020,98,9,9.9
Casey,Paul,5/9/2021,99,9,9.6
Douglas,Maria,2/28/2021,88,9,9.9
Ferguson,Andrew,12/23/2021,97,9,9.6
Harris,Samantha,12/20/2020,91,9,9.1
Holmes,Maximilian,3/22/2021,91,9,9.8
Turner,Sophia,4/26/2022,89,9,9.9
Casey,Isabella,2/16/2021,88,10,10
Campbell,Alisa,2/23/2020,99,9,9.7
Payne,Daisy,4/3/2022,97,8,8.4
Hamilton,Julia,8/2/2020,86,9,9.3
Ferguson,Stella,4/11/2022,81,9,9
Edwards,Abigail,12/16/2021,96,8,8.1
West,Kelsey,8/3/2020,90,8,8.3
Baker,Jessica,3/24/2022,98,9,9.5
Fowler,Thomas,7/11/2022,98,9,9.5
Tucker,Adrianna,10/21/2020,85,10,10
Moore,Lydia,9/19/2021,92,10,10
Carter,Nicole,3/3/2021,93,9,9.1
Walker,Antony,6/30/2021,81,9,9.6
Andrews,Edwin,5/2/2022,93,9,9.1
Hawkins,Steven,11/21/2021,81,9,9.1
Holmes,Oliver,7/28/2021,91,9,9.8
Wright,Melissa,10/24/2020,93,9,9.3
Morris,Michelle,6/20/2020,94,9,9.4
Harrison,William,7/17/2021,82,8,8.3
Sullivan,Lydia,5/9/2020,99,8,8.2
Nelson,Fenton,8/1/2022,96,9,9.5
Gray,Julia,3/30/2021,96,8,8.5
Ryan,Elian,8/30/2022,94,9,9.7
Andrews,John,4/11/2022,86,9,9.7
Nelson,Kellan,7/18/2021,95,9,9.5
Perkins,Samantha,3/4/2022,97,9,9.5
Barrett,Lenny,11/5/2019,93,9,9.8
Dixon,Joyce,3/23/2021,99,8,8.8
Ryan,Caroline,3/4/2022,88,9,9.2
Grant,Samantha,6/24/2020,98,9,9.7
Wilson,Dexter,7/24/2022,92,9,9.4
Perkins,Tyler,1/14/2020,87,10,10
Brown,Nicholas,5/7/2020,97,10,10
Carter,Edith,7/26/2020,99,9,9.4
Cunningham,Deanna,9/29/2020,87,8,8
Dixon,Natalie,10/1/2021,91,8,8.5
Gray,Justin,5/4/2020,92,9,9.9
Adams,Amy,2/21/2020,100,9,9.7
Henderson,Chelsea,6/17/2021,84,10,10
Ellis,Rafael,5/2/2022,87,8,8.7
Hill,Jared,4/22/2020,83,8,8.8
Carter,Ashton,6/17/2020,84,8,8.4
Ferguson,Audrey,9/12/2022,82,9,9
Wright,Clark,8/28/2020,88,9,9
Sullivan,Mike,11/7/2019,100,10,10
Barnes,Edwin,3/18/2021,91,8,8.3
Hamilton,Kelvin,5/31/2021,86,9,9.6
Kelly,Oliver,9/10/2020,90,10,10
Stevens,Stella,2/13/2022,90,9,9.8
Campbell,Chloe,1/17/2020,94,9,9.8
Ferguson,Camila,9/23/2020,97,10,10
Craig,Camila,3/29/2021,96,10,10
Ross,Caroline,11/8/2021,95,9,9.9
Mason,Sabrina,8/4/2021,90,9,9.2
Ross,Kimberly,12/4/2019,86,10,10
Davis,Miley,2/10/2020,100,8,8.5
Howard,Walter,3/4/2022,91,10,10
Foster,Naomi,4/3/2020,84,8,8
Jones,Alexander,8/26/2020,86,9,9.8
Walker,Kirsten,1/20/2021,80,9,9.3
Allen,Jessica,12/18/2019,93,9,9.7
Cameron,Eric,3/31/2022,80,9,9.7
Alexander,Julian,9/10/2020,86,9,9.6
Farrell,Belinda,12/15/2021,86,8,8.8
Walker,George,3/27/2022,86,8,8.5
Farrell,Emma,4/23/2020,92,9,9.5
Fowler,David,3/9/2020,81,9,9.2
Kelley,Reid,12/12/2019,85,10,10
Robinson,Rosie,7/26/2021,90,9,9.6
Campbell,Kate,9/22/2022,92,9,9
Tucker,Kellan,7/13/2021,80,9,9.9
Foster,Tony,11/15/2020,81,10,10
Walker,Arianna,3/6/2020,89,10,10
Casey,Brad,6/1/2021,92,8,8.3
Robinson,Brianna,10/24/2020,95,9,9
Harrison,Sam,3/2/2021,84,9,9
Wright,Samantha,11/29/2020,88,10,10
Robinson,Melanie,3/28/2021,94,0,0.9
Barrett,Charlotte,9/11/2021,81,9,9
Cunningham,Elian,7/17/2021,95,9,9.1
Phillips,Arnold,11/21/2021,99,9,9.9
Miller,Chester,8/1/2020,88,8,8.3
Taylor,Camila,11/21/2020,94,9,9.7
Tucker,Adele,8/1/2021,81,9,9
Morris,Vincent,6/2/2021,82,9,9.2
Richards,Rosie,7/3/2020,84,7,7
Harris,Wilson,6/29/2021,89,9,9.7
Clark,Sofia,6/12/2020,91,10,10
Wells,Patrick,12/4/2021,100,9,9.6
Foster,Walter,12/19/2020,96,10,10
Evans,Patrick,3/26/2020,90,9,9
Morgan,Wilson,8/19/2022,99,9,9.1
Carroll,Abraham,7/27/2021,81,8,8.7
Barrett,Florrie,11/20/2020,93,9,9
Harris,Lydia,11/11/2019,94,9,9.8
Cameron,Victor,4/20/2021,97,10,10
Brooks,Frederick,10/26/2020,86,8,8.5
Kelley,Daryl,8/20/2021,91,9,9.2
Grant,Savana,5/6/2020,81,9,9.5
Gray,Natalie,7/11/2021,95,8,8.1
Montgomery,Elian,6/1/2022,88,8,8.2
Wright,Alexander,2/2/2021,84,9,9.3
Crawford,Savana,3/22/2022,91,10,10
Phillips,Joyce,1/6/2022,98,9,9.7
Ferguson,Owen,3/9/2022,87,9,9.1
Ryan,July,7/6/2020,93,9,9
Anderson,Kirsten,9/16/2022,91,9,9.8
Sullivan,Chelsea,9/17/2021,92,8,8.1
Thomas,Brianna,2/13/2022,94,8,8.6
Johnston,Ted,1/4/2021,99,8,8.4
Moore,Henry,12/16/2021,97,8,8.1
Watson,Lily,11/17/2019,82,8,8.8
Warren,Kellan,8/1/2020,99,9,9.1
Hall,Ned,3/2/2021,99,9,9.1
Miller,Wilson,6/17/2022,90,9,9.1
Armstrong,Michael,7/21/2020,82,9,9.8
Phillips,Ryan,1/5/2022,87,10,10
Mitchell,Sienna,3/30/2022,97,9,9.3
Taylor,Daryl,11/20/2021,96,9,9.5
Wright,Ashton,1/27/2021,87,9,9.7
Scott,Carlos,2/21/2021,83,9,9
Evans,Lucia,3/9/2020,93,9,9.4
Mason,Fenton,10/16/2021,97,8,8.5
Jones,Nicholas,8/10/2020,91,9,9.8
Allen,Mary,9/19/2022,93,9,9.5
Farrell,Justin,4/21/2022,84,8,8.5
Murray,Aida,6/28/2022,89,10,10
Morrison,Amanda,12/6/2020,84,10,10
Nelson,Frederick,8/3/2021,81,8,8.4
Spencer,Emma,11/13/2019,86,10,10
Douglas,Rafael,12/23/2020,93,10,10
Lloyd,Amanda,12/19/2020,86,8,8.7
Ferguson,Abraham,9/6/2021,90,10,10
Cooper,Hailey,11/17/2019,87,8,8.3
West,Abraham,6/2/2021,90,10,10
Chapman,Ada,3/31/2021,99,9,9.6
Carter,Daryl,6/29/2022,98,9,9.3
Hunt,Elian,1/29/2021,84,9,9.9
Murray,Amy,7/19/2021,86,9,9.7
Watson,Roman,11/18/2021,97,10,10
Johnson,Belinda,5/7/2021,89,9,9.8
Morgan,Tyler,12/26/2019,89,8,8.8
Thompson,Tara,8/16/2022,84,9,9.6
Gray,Kristian,6/16/2020,80,9,9.8
Taylor,Melanie,3/14/2021,85,0,0.4
West,July,1/6/2022,94,9,9.7
Douglas,Alexia,6/7/2021,92,7,7
Hawkins,Ashton,2/8/2021,83,6,6.2
Phillips,Nicholas,11/4/2019,91,9,9.6
Gibson,July,9/13/2022,87,9,9.2
Howard,Darcy,2/20/2022,82,10,10
Montgomery,Byron,2/27/2021,93,9,9.4
Cunningham,Dainton,9/6/2021,92,9,9.3
Harris,Chester,1/16/2020,82,9,9.8
Thomas,Myra,7/31/2020,99,10,10
Ross,Luke,12/22/2021,81,10,10
Thomas,Anna,3/8/2021,83,0,0
Wells,Rubie,10/31/2020,84,10,10
Cameron,Vincent,1/23/2020,91,10,10
Barnes,Lana,4/26/2021,92,10,10
Barnes,Kelvin,3/7/2020,83,8,8.8
Davis,Kate,6/20/2020,96,9,9.3
Grant,Miller,3/15/2021,96,9,9.1
Tucker,Dexter,6/8/2021,94,9,9.3
Elliott,Annabella,10/30/2020,89,10,10
Kelley,Dexter,11/30/2020,96,10,10
Anderson,Rosie,5/7/2021,92,9,9.6
Riley,James,7/19/2020,100,8,8.2
Johnson,Lucy,9/25/2020,84,8,8.7
Owens,Adrianna,9/13/2021,85,9,9.4
Cameron,Jacob,2/21/2022,96,9,9.3
Walker,Chester,12/27/2019,91,8,8.5
Tucker,Tara,7/15/2022,87,8,8.9
Thomas,George,11/8/2020,83,8,8.8
Hall,Evelyn,12/9/2020,92,10,10
Andrews,Ted,1/10/2021,89,9,9.5
Perry,Andrew,6/25/2021,98,10,10
Richardson,Sam,1/8/2020,87,9,9.2
Wells,Victoria,4/7/2022,98,10,10
Brooks,Rebecca,4/7/2020,87,9,9.9
Farrell,Vanessa,6/11/2020,99,9,9.7
Reed,Blake,6/4/2021,84,10,10
Tucker,Victoria,12/18/2021,93,10,10
Morris,Steven,9/24/2020,88,10,10
Bailey,Briony,7/8/2021,87,8,8.6
Hill,Daisy,6/8/2022,87,9,9.4
Ellis,Alford,2/4/2022,94,10,10
Hawkins,Adison,8/21/2022,95,7,7.6
Howard,Sawyer,5/11/2021,82,10,10
Craig,Jessica,12/27/2020,95,8,8.2
Kelly,Melissa,9/16/2022,94,9,9.8
Lloyd,Freddie,12/12/2020,87,9,9.4
Parker,Camila,9/20/2022,81,10,10
Cameron,Kelvin,10/8/2021,91,9,9.8
Casey,Paul,7/10/2022,86,10,10
Douglas,Maria,1/18/2021,87,9,9.2
Ferguson,Andrew,2/24/2022,85,9,9.3
Harris,Samantha,6/23/2022,80,9,9.9
Holmes,Maximilian,7/21/2022,96,8,8.1
Turner,Sophia,12/19/2020,94,9,9.2
Casey,Isabella,4/8/2022,98,10,10
Campbell,Alisa,4/22/2020,85,8,8.6
Payne,Daisy,1/21/2020,82,9,9
Hamilton,Julia,8/26/2020,98,10,10
Ferguson,Stella,8/8/2021,82,10,10
Edwards,Abigail,12/13/2020,87,9,9.4
West,Kelsey,12/12/2021,96,10,10
Baker,Jessica,5/18/2020,100,10,10
Fowler,Thomas,6/21/2021,99,9,9.5
Tucker,Adrianna,7/4/2022,100,9,9.5
Moore,Lydia,4/6/2022,96,10,10
Carter,Nicole,7/23/2020,85,9,9.7
Walker,Antony,2/10/2021,90,10,10
Andrews,Edwin,9/16/2022,100,9,9.5
Hawkins,Steven,6/1/2021,80,9,9.4
Holmes,Oliver,11/22/2020,86,9,9.2
Wright,Melissa,9/23/2021,89,10,10
Morris,Michelle,5/4/2020,99,9,9.6
Harrison,William,1/27/2020,82,9,9.3
Sullivan,Lydia,9/11/2022,80,8,8.6
Nelson,Fenton,12/16/2021,100,10,10
Gray,Julia,11/30/2021,99,9,9.3
Ryan,Elian,5/11/2022,86,10,10
Andrews,John,5/22/2020,94,9,9.1
Nelson,Kellan,2/12/2020,80,10,10
Perkins,Samantha,10/23/2021,99,9,9.2
Barrett,Lenny,11/25/2020,95,8,8.8
Dixon,Joyce,4/21/2020,81,8,8.7
Ryan,Caroline,10/10/2021,89,10,10
Grant,Samantha,3/12/2022,84,9,9.7
Wilson,Dexter,7/15/2021,92,10,10
Perkins,Tyler,9/22/2021,92,10,10
Brown,Nicholas,9/17/2020,87,9,9.7
Carter,Edith,12/5/2021,82,10,10
Cunningham,Deanna,5/4/2022,91,9,9.6
Dixon,Natalie,9/22/2022,85,10,10
Gray,Justin,4/18/2022,95,8,8.7
Adams,Amy,12/1/2021,90,9,9
Henderson,Chelsea,12/24/2020,81,9,9.5
Ellis,Rafael,4/24/2021,97,10,10
Hill,Jared,2/3/2020,94,9,9.1
Carter,Ashton,11/4/2020,90,10,10
Ferguson,Audrey,2/3/2020,89,9,9.2
Wright,Clark,10/5/2021,99,9,9.2
Sullivan,Mike,5/14/2020,90,9,9.5
Barnes,Edwin,11/25/2019,85,9,9
Hamilton,Kelvin,5/8/2020,88,9,9.1
Kelly,Oliver,11/14/2021,86,9,9.4
Stevens,Stella,7/17/2022,85,9,9.1
Campbell,Chloe,1/5/2022,97,9,9.2
Ferguson,Camila,12/26/2021,81,9,9.7
Craig,Camila,1/2/2022,99,9,9.4
Ross,Caroline,1/11/2022,89,9,9
Mason,Sabrina,2/15/2020,85,9,9.3
Ross,Kimberly,11/8/2020,93,0,0.9
Davis,Miley,3/20/2021,91,9,9.7
Howard,Walter,7/22/2021,87,9,9.4
Foster,Naomi,1/24/2020,93,9,9.8
Jones,Alexander,1/9/2020,81,9,9.4
Walker,Kirsten,6/22/2021,80,10,10
Allen,Jessica,12/20/2020,88,9,9.3
Cameron,Eric,9/13/2020,82,9,9.7
Alexander,Julian,10/30/2020,100,9,9.8
Farrell,Belinda,1/29/2020,89,10,10
Walker,George,2/7/2022,96,9,9.7
Farrell,Emma,11/20/2020,85,9,9.2
Fowler,David,4/7/2022,91,9,9
Kelley,Reid,7/2/2022,90,10,10
Robinson,Rosie,8/22/2020,81,9,9.3
Campbell,Kate,7/30/2022,85,9,9.4
Tucker,Kellan,12/3/2021,91,0,0.4
Foster,Tony,8/22/2022,91,10,10
Walker,Arianna,3/27/2021,94,7,7.1
Casey,Brad,4/21/2020,81,9,9.6
Robinson,Brianna,2/5/2022,90,10,10
Harrison,Sam,2/8/2022,91,9,9.4
Wright,Samantha,4/23/2022,98,9,9.9
Robinson,Melanie,4/14/2021,81,9,9.4
Barrett,Charlotte,7/20/2021,97,9,9.6
Cunningham,Elian,10/1/2021,97,9,9.5
Phillips,Arnold,2/10/2020,91,10,10
Miller,Chester,5/16/2020,94,10,10
Taylor,Camila,9/5/2022,87,10,10
Tucker,Adele,5/1/2022,92,8,8.9
Morris,Vincent,10/28/2021,83,9,9.4
Richards,Rosie,9/21/2021,93,9,9.8
Harris,Wilson,11/2/2020,84,8,8.7
Clark,Sofia,11/8/2019,92,9,9.8
Wells,Patrick,7/4/2021,92,10,10
Foster,Walter,11/24/2019,86,10,10
Evans,Patrick,11/19/2021,84,9,9.5
Morgan,Wilson,12/23/2019,93,9,9.8
Carroll,Abraham,8/17/2020,88,9,9.8
Barrett,Florrie,3/3/2020,86,10,10
Harris,Lydia,3/28/2022,83,9,9.2
Cameron,Victor,8/29/2020,83,9,9.6
Brooks,Frederick,2/15/2020,97,0,0.8
Kelley,Daryl,9/11/2021,97,9,9.7
Grant,Savana,7/8/2021,98,9,9.5
Gray,Natalie,8/12/2020,99,9,9.9
Montgomery,Elian,4/3/2022,88,9,9.6
Wright,Alexander,4/17/2021,80,8,8.9
Crawford,Savana,2/28/2021,91,9,9.7
Phillips,Joyce,9/7/2020,91,8,8.1
Ferguson,Owen,2/19/2020,92,10,10
Ryan,August,12/15/2020,87,9,9.5
Anderson,Kirsten,2/15/2020,93,10,10
Sullivan,Chelsea,4/1/2020,81,9,9.6
Thomas,Brianna,3/30/2021,88,8,8.7
Johnston,Ted,4/7/2021,97,9,9.3
Moore,Henry,12/17/2019,89,9,9.3
Watson,Lily,10/27/2021,98,8,8.9
Warren,Kellan,7/19/2021,90,9,9.7
Hall,Ned,8/2/2021,82,8,8
Miller,Wilson,7/15/2022,82,10,10
Armstrong,Michael,6/6/2021,100,9,9.9
Phillips,Ryan,7/1/2021,89,8,8.6
Mitchell,Sienna,4/23/2020,96,9,9.5
Taylor,Daryl,4/20/2020,88,9,9.4
Wright,Ashton,7/29/2022,100,9,9.3
Scott,Carlos,1/14/2020,90,8,8.7
Evans,Lucia,1/23/2020,97,9,9.7
Mason,Fenton,1/29/2021,98,9,9.6
Jones,Nicholas,11/2/2019,87,9,9.8
Allen,Mary,5/4/2022,80,8,8.6
Farrell,Justin,8/22/2020,98,8,8.1
Murray,Aida,10/30/2020,98,8,8.1
Morrison,Amanda,3/17/2022,91,9,9.1
Nelson,Frederick,9/20/2021,100,10,10
Spencer,Emma,9/12/2022,88,8,8.9
Douglas,Rafael,12/28/2020,84,9,9
Lloyd,Amanda,11/17/2020,94,7,7.2
Ferguson,Abraham,5/31/2022,95,8,8.5
Cooper,Hailey,1/1/2022,90,9,9.7
West,Abraham,6/25/2021,90,8,8.1
Chapman,Ada,4/8/2020,85,8,8
Carter,Daryl,8/2/2022,92,9,9
Hunt,Elian,9/7/2022,86,9,9
Murray,Amy,9/1/2022,95,9,9.7
Watson,Roman,11/13/2020,89,9,9.9
Johnson,Belinda,2/6/2022,83,10,10
Morgan,Tyler,11/15/2021,87,8,8.3
Thompson,Tara,11/16/2021,100,9,9.3
Gray,Kristian,12/15/2020,99,9,9.9
Taylor,Melanie,9/13/2022,80,8,8.5
West,August,10/10/2021,92,9,9.8
Douglas,Alexia,2/10/2020,88,8,8.1
Hawkins,Ashton,6/30/2022,85,9,9.2
Phillips,Nicholas,7/12/2020,93,10,10
Gibson,August,5/4/2022,82,8,8.6
Howard,Darcy,6/11/2022,87,10,10
Montgomery,Byron,5/5/2020,84,9,9
Cunningham,Dainton,7/7/2020,92,10,10
Harris,Chester,7/20/2021,85,9,9.9
Thomas,Myra,3/22/2020,100,9,9.9
Ross,Luke,8/30/2020,99,10,10
Thomas,Anna,5/30/2021,98,10,10
Wells,Rubie,1/8/2020,84,0,0.2
Cameron,Vincent,2/12/2020,98,8,8.5
Barnes,Lana,7/2/2022,92,10,10
Barnes,Kelvin,11/17/2020,99,10,10
Davis,Kate,11/29/2020,96,9,9.2
Grant,Miller,1/28/2021,96,9,9.5
Tucker,Dexter,2/11/2021,95,9,9.6
Elliott,Annabella,11/28/2021,96,8,8.4
Kelley,Dexter,6/29/2020,85,10,10
Anderson,Rosie,5/21/2020,97,10,10
Riley,James,2/25/2020,89,9,9.7
Johnson,Lucy,2/4/2021,94,9,9.5
Owens,Adrianna,3/1/2022,95,10,10
Cameron,Jacob,6/23/2022,85,8,8.8
Walker,Chester,7/21/2020,91,9,9.1
Tucker,Tara,9/9/2020,90,9,9.9
Thomas,George,12/28/2019,97,9,9.3
Hall,Evelyn,1/12/2021,81,8,8.6
Andrews,Ted,5/25/2022,85,9,9.8
Perry,Andrew,9/25/2021,88,8,8.7
Richardson,Sam,6/6/2022,84,8,8.3
Wells,Victoria,1/29/2020,83,9,9.2
Brooks,Rebecca,12/19/2020,98,9,9.4
Farrell,Vanessa,10/13/2020,86,9,9.7
Reed,Blake,8/24/2020,95,10,10
Tucker,Victoria,12/27/2019,83,9,9.7
Morris,Steven,11/25/2019,80,9,9.9
Bailey,Briony,3/5/2022,95,8,8.3
Hill,Daisy,7/16/2020,96,8,8.8
Ellis,Alford,11/4/2019,99,9,9.2
Hawkins,Adison,12/26/2019,91,8,8.2
Howard,Sawyer,1/28/2021,92,8,8.3
Craig,Jessica,8/22/2020,97,10,10
Kelly,Melissa,8/24/2021,91,10,10
Lloyd,Freddie,3/1/2021,96,0,0.9
Parker,Camila,11/12/2019,91,8,8.8
Cameron,Kelvin,7/4/2020,99,8,8.5
Casey,Paul,9/5/2022,88,9,9.2
Douglas,Maria,3/20/2022,92,8,8.5
Ferguson,Andrew,4/4/2020,91,9,9.6
Harris,Samantha,8/28/2020,87,9,9.6
Holmes,Maximilian,7/16/2022,86,9,9.1
Turner,Sophia,7/19/2022,90,9,9.4
Casey,Isabella,5/30/2021,100,9,9.9
Campbell,Alisa,4/7/2022,98,10,10
Payne,Daisy,5/25/2020,93,8,8.1
Hamilton,Julia,9/18/2020,84,9,9.1
Ferguson,Stella,8/26/2022,82,10,10
Edwards,Abigail,7/30/2021,92,9,9.5
West,Kelsey,3/12/2022,87,9,9.6
Baker,Jessica,10/28/2020,92,9,9
Fowler,Thomas,9/25/2021,82,9,9.3
Tucker,Adrianna,4/11/2020,80,10,10
Moore,Lydia,6/20/2021,83,9,9.9
Carter,Nicole,4/7/2021,87,9,9.1
Walker,Antony,7/25/2021,97,10,10
Andrews,Edwin,4/11/2021,89,8,8.9
Hawkins,Steven,2/17/2021,84,10,10
Holmes,Oliver,1/18/2020,88,8,8.9
Wright,Melissa,3/9/2022,80,9,9.9
Morris,Michelle,7/18/2022,96,8,8.9
Harrison,William,9/1/2020,83,9,9.5
Sullivan,Lydia,2/15/2022,100,9,9.7
Nelson,Fenton,2/27/2021,100,10,10
Gray,Julia,12/17/2021,99,9,9
Ryan,Elian,3/12/2021,98,8,8.5
Andrews,John,3/26/2020,99,8,8.2
Nelson,Kellan,12/20/2021,89,9,9.8
Perkins,Samantha,7/22/2021,90,9,9.3
Barrett,Lenny,3/15/2020,93,9,9.3
Dixon,Joyce,6/6/2020,95,6,6.4
Ryan,Caroline,5/1/2021,83,9,9.2
Grant,Samantha,3/31/2022,83,9,9.1
Wilson,Dexter,10/9/2020,91,8,8.5
Perkins,Tyler,1/11/2020,83,9,9.7
Brown,Nicholas,2/17/2020,80,8,8.5
Carter,Edith,9/20/2021,89,8,8.3
Cunningham,Deanna,9/24/2020,84,10,10
Dixon,Natalie,10/9/2020,87,9,9.6
Gray,Justin,3/31/2022,83,9,9
Adams,Amy,8/1/2021,99,10,10
Henderson,Chelsea,8/6/2021,86,10,10
Ellis,Rafael,4/25/2022,95,9,9.6
Hill,Jared,5/19/2022,99,9,9.6
Carter,Ashton,3/26/2021,86,9,9.7
Ferguson,Audrey,4/3/2021,89,8,8.8
Wright,Clark,2/19/2022,95,9,9.1
Sullivan,Mike,3/20/2021,89,0,0.5
Barnes,Edwin,5/21/2021,90,9,9.6
Hamilton,Kelvin,9/14/2020,96,8,8.3
Kelly,Oliver,10/30/2020,80,8,8.3
Stevens,Stella,5/17/2021,100,10,10
Campbell,Chloe,3/25/2022,93,9,9.4
Ferguson,Camila,10/31/2020,86,9,9.7
Craig,Camila,7/15/2021,97,9,9.5
Ross,Caroline,1/15/2022,86,7,7.3
Mason,Sabrina,9/22/2022,95,9,9.7
Ross,Kimberly,4/11/2020,95,9,9.3
Davis,Miley,7/26/2022,100,9,9.1
Howard,Walter,1/30/2022,93,9,9.7
Foster,Naomi,3/24/2021,85,8,8.6
Jones,Alexander,7/26/2021,89,9,9.7
Walker,Kirsten,10/26/2020,96,0,0.5
Allen,Jessica,3/9/2022,95,9,9
Cameron,Eric,1/17/2021,87,8,8.7
Alexander,Julian,9/5/2021,97,8,8.8
Farrell,Belinda,2/15/2021,97,10,10
Walker,George,12/30/2020,95,9,9.9
Farrell,Emma,2/20/2020,85,9,9.1
Fowler,David,6/23/2021,84,8,8
Kelley,Reid,11/4/2020,95,8,8.4
Robinson,Rosie,11/9/2019,82,9,9
Campbell,Kate,7/24/2022,90,10,10
Tucker,Kellan,4/29/2020,95,9,9.6
Foster,Tony,3/2/2021,97,9,9
Walker,Arianna,2/3/2021,84,8,8.2
Casey,Brad,1/14/2020,90,8,8.2
Robinson,Brianna,7/27/2021,80,9,9.9
Harrison,Sam,3/29/2020,87,8,8.9
Wright,Samantha,5/24/2022,87,9,9.1
Robinson,Melanie,12/31/2019,82,8,8.2
Barrett,Charlotte,9/22/2021,80,9,9.6
Cunningham,Elian,9/28/2021,99,10,10
Phillips,Arnold,11/29/2021,100,8,8.1
Miller,Chester,12/6/2021,88,9,9.9
Taylor,Camila,7/11/2022,85,8,8.9
Tucker,Adele,12/6/2021,87,8,8.2
Morris,Vincent,8/15/2020,84,9,9.3
Richards,Rosie,12/24/2020,88,8,8.8
Harris,Wilson,11/11/2020,85,8,8.9
Clark,Sofia,3/7/2022,85,0,0
Wells,Patrick,5/11/2021,92,9,9.2
Foster,Walter,7/13/2021,99,9,9.5
Evans,Patrick,3/7/2022,97,9,9.9
Morgan,Wilson,3/23/2022,91,9,9.5
Carroll,Abraham,2/26/2020,95,9,9.9
Barrett,Florrie,6/18/2021,90,9,9.8
Harris,Lydia,4/1/2022,100,8,8.8
Cameron,Victor,2/21/2021,89,10,10
Brooks,Frederick,9/30/2022,89,9,9
Kelley,Daryl,10/28/2020,89,9,9.2
Grant,Savana,12/2/2019,100,9,9.3
Gray,Natalie,3/25/2022,91,9,9
Montgomery,Elian,9/5/2022,86,9,9.9
Wright,Alexander,11/16/2021,90,9,9.3
Crawford,Savana,11/3/2020,85,10,10
Phillips,Joyce,4/25/2021,89,10,10
Ferguson,Owen,10/9/2020,94,9,9.5
Ryan,September,7/8/2021,100,10,10
Anderson,Kirsten,2/18/2020,90,10,10
Sullivan,Chelsea,5/2/2020,88,9,9.1
Thomas,Brianna,7/9/2020,99,9,9.3
Johnston,Ted,9/27/2020,91,9,9.7
Moore,Henry,8/23/2022,80,10,10
Watson,Lily,8/29/2020,81,9,9.1
Warren,Kellan,11/18/2019,96,9,9.3
Hall,Ned,9/13/2021,92,8,8.2
Miller,Wilson,11/21/2021,92,10,10
Armstrong,Michael,1/20/2021,83,10,10
Phillips,Ryan,8/11/2021,93,9,9.7
Mitchell,Sienna,8/16/2020,81,7,7.3
Taylor,Daryl,11/2/2020,92,9,9.8
Wright,Ashton,8/29/2021,96,8,8.7
Scott,Carlos,3/3/2022,86,9,9.4
Evans,Lucia,4/10/2020,87,9,9.9
Mason,Fenton,8/5/2020,93,9,9.9
Jones,Nicholas,7/3/2020,95,9,9.9
Allen,Mary,8/29/2020,89,9,9.9
Farrell,Justin,8/21/2020,87,9,9.7
Murray,Aida,4/20/2022,95,8,8
Morrison,Amanda,6/15/2020,83,8,8.6
Nelson,Frederick,4/3/2022,83,9,9.6
Spencer,Emma,8/27/2022,85,8,8.3
Douglas,Rafael,11/10/2021,94,10,10
Lloyd,Amanda,11/20/2019,90,9,9.7
Ferguson,Abraham,11/14/2019,83,8,8.4
Cooper,Hailey,2/5/2020,91,9,9.9
West,Abraham,5/1/2021,85,10,10
Chapman,Ada,6/23/2020,87,9,9.5
Carter,Daryl,9/18/2020,100,8,8.1
Hunt,Elian,9/4/2021,85,10,10
Murray,Amy,11/10/2021,90,8,8.6
Watson,Roman,11/13/2019,82,10,10
Johnson,Belinda,3/17/2022,89,8,8.4
Morgan,Tyler,9/11/2020,88,9,9.6
Thompson,Tara,11/25/2019,87,9,9.3
Gray,Kristian,4/18/2022,81,8,8
Taylor,Melanie,12/15/2021,95,9,9.7
West,September,10/6/2021,95,9,9.5
Douglas,Alexia,1/30/2020,84,8,8.2
Hawkins,Ashton,7/4/2022,93,10,10
